id,Name,d bore,D outside,B,dynamic (kN),static (kN),Reference speed (r/min),Limiting speed (r/min)
0,W 618/1,1,3,1,0.052,0.012,240000,150000
1,W 619/1,1,4,1.6,0.079,0.018,220000,140000
2,W 638/1,1,3,1.5,0.052,0.012,240000,150000
3,W 60/1.5,1.5,6,2.5,0.19,0.051,180000,110000
4,W 618/1.5,1.5,4,1.2,0.062,0.016,220000,140000
5,W 619/1.5,1.5,5,2,0.135,0.036,200000,120000
6,W 630/1.5-2Z,1.5,6,3,0.19,0.051,180000,90000
7,W 638/1.5-2Z,1.5,4,2,0.062,0.016,220000,110000
8,W 602,2,7,2.8,0.221,0.067,160000,100000
9,W 602 X-2ZS,2,7,3,0.221,0.067,160000,80000
10,W 617/2,2,4,1.2,0.068,0.019,200000,130000
11,W 618/2,2,5,1.5,0.094,0.025,200000,120000
12,W 618/2 X,2,5,2,0.094,0.025,200000,120000
13,W 619/2,2,6,2.3,0.19,0.051,180000,110000
14,W 619/2 X,2,6,2.5,0.19,0.051,180000,110000
15,W 619/2 X-2Z,2,6,2.5,0.19,0.051,180000,90000
16,W 637/2-2Z,2,4,2,0.068,0.019,200000,100000
17,W 638/2 X-2Z,2,5,2.5,0.094,0.025,200000,100000
18,W 638/2-2Z,2,5,2.3,0.094,0.025,200000,100000
19,W 639/2-2Z,2,6,3,0.19,0.051,180000,90000
20,W 60/2.5,2.5,8,2.8,0.312,0.088,160000,95000
21,W 618/2.5,2.5,6,1.8,0.117,0.036,170000,110000
22,W 619/2.5,2.5,7,2.5,0.221,0.067,160000,100000
23,W 630/2.5-2Z,2.5,8,4,0.312,0.088,160000,80000
24,W 638/2.5-2Z,2.5,6,2.6,0.117,0.036,170000,85000
25,623,3,10,4,0.54,0.18,130000,80000
26,623-2RS1,3,10,4,0.54,0.18,None,40000
27,623-2Z,3,10,4,0.54,0.18,130000,60000
28,623-Z,3,10,4,0.54,0.18,130000,80000
29,W 603,3,9,3,0.325,0.095,140000,90000
30,W 603 X-2Z,3,9,4,0.325,0.095,140000,70000
31,W 617/3,3,6,2,0.117,0.036,170000,110000
32,W 618/3,3,7,2,0.178,0.057,160000,100000
33,W 619/3,3,8,3,0.319,0.09,150000,95000
34,W 619/3-2Z,3,8,3,0.225,0.072,150000,75000
35,W 623,3,10,4,0.358,0.11,140000,90000
36,W 623 R-2Z,3,10,4,0.358,0.11,140000,70000
37,W 623-2RS1,3,10,4,0.358,0.11,None,40000
38,W 623-2Z,3,10,4,0.358,0.11,140000,70000
39,W 627/3 R-2Z,3,6,2.5,0.117,0.036,170000,85000
40,W 627/3-2Z,3,6,2.5,0.117,0.036,170000,85000
41,W 630/3-2Z,3,9,5,0.325,0.095,140000,70000
42,W 633,3,13,5,0.741,0.25,110000,70000
43,W 633-2RS1,3,13,5,0.741,0.25,None,32000
44,W 633-2Z,3,13,5,0.741,0.25,110000,56000
45,W 637/3-2Z,3,6,3,0.117,0.036,170000,85000
46,W 638/3-2RS1,3,7,3,0.178,0.057,None,45000
47,W 638/3-2Z,3,7,3,0.178,0.057,160000,80000
48,W 639/3-2RS1,3,8,4,0.319,0.09,None,43000
49,W 639/3-2Z,3,8,4,0.319,0.09,150000,75000
50,D/W R144,3.175,6.35,2.38,0.163,0.048,170000,100000
51,D/W R144 R,3.175,6.35,2.38,0.163,0.048,170000,100000
52,D/W R144 R-2Z,3.175,6.35,2.779,0.163,0.048,170000,85000
53,D/W R144-2Z,3.175,6.35,2.779,0.163,0.048,170000,85000
54,604-2Z,4,12,4,0.806,0.28,120000,60000
55,618/4,4,9,2.5,0.423,0.116,140000,85000
56,619/4,4,11,4,0.624,0.18,130000,80000
57,619/4-2Z,4,11,4,0.624,0.18,130000,63000
58,624,4,13,5,0.936,0.29,110000,67000
59,624-2Z,4,13,5,0.936,0.29,110000,53000
60,624-Z,4,13,5,0.936,0.29,110000,67000
61,628/4-2Z,4,9,3.5,0.423,0.116,140000,70000
62,634,4,16,5,1.11,0.38,95000,60000
63,634-2Z,4,16,5,1.11,0.38,95000,48000
64,638/4-2Z,4,9,4,0.423,0.116,140000,70000
65,W 604,4,12,4,0.54,0.176,130000,80000
66,W 604-2RS1,4,12,4,0.54,0.176,None,36000
67,W 604-2Z,4,12,4,0.54,0.176,130000,63000
68,W 617/4,4,7,2,0.178,0.057,150000,95000
69,W 617/4 X,4,8,2,0.225,0.072,150000,90000
70,W 618/4,4,9,2.5,0.364,0.114,140000,85000
71,W 619/4,4,11,4,0.54,0.176,130000,80000
72,W 619/4-2RS1,4,11,4,0.54,0.176,None,36000
73,W 619/4-2Z,4,11,4,0.54,0.176,130000,63000
74,W 624-2RS1,4,13,5,0.741,0.25,None,32000
75,W 624-2Z,4,13,5,0.741,0.25,110000,56000
76,W 627/4 R-2Z,4,7,2.5,0.143,0.053,150000,75000
77,W 627/4-2Z,4,7,2.5,0.143,0.053,150000,75000
78,W 634,4,16,5,0.761,0.265,100000,63000
79,W 634-2RS1,4,16,5,0.761,0.265,None,30000
80,W 634-2Z,4,16,5,0.761,0.265,100000,50000
81,W 637/4 X,4,10,3,0.553,0.245,130000,80000
82,W 637/4 X-2Z,4,8,3,0.225,0.072,150000,75000
83,W 638/4 R-2Z,4,9,4,0.364,0.114,140000,70000
84,W 638/4 X-2RS1,4,10,4,0.553,0.245,None,36000
85,W 638/4 X-2Z,4,10,4,0.553,0.245,130000,63000
86,W 638/4-2RS1,4,9,4,0.364,0.114,None,40000
87,W 638/4-2Z,4,9,4,0.364,0.114,140000,70000
88,D/W R166-2Z,4.762,9.525,3.175,0.403,0.137,130000,63000
89,D/W R3-2Z,4.762,12.7,4.978,0.741,0.25,110000,56000
90,618/5,5,11,3,0.468,0.143,120000,75000
91,619/5,5,13,4,0.884,0.335,110000,70000
92,619/5-2Z,5,13,4,0.884,0.335,110000,50000
93,625,5,16,5,1.14,0.38,95000,60000
94,625-2Z,5,16,5,1.14,0.38,95000,48000
95,625-Z,5,16,5,1.14,0.38,95000,60000
96,628/5-2Z,5,11,4,0.468,0.143,120000,60000
97,635,5,19,6,2.34,0.95,80000,50000
98,635-2Z,5,19,6,2.34,0.95,80000,40000
99,638/5-2Z,5,11,5,0.468,0.143,120000,60000
100,W 605,5,14,5,0.761,0.26,110000,67000
101,W 605-2RS1,5,14,5,0.761,0.26,None,30000
102,W 605-2Z,5,14,5,0.761,0.26,110000,53000
103,W 617/5,5,8,2,0.174,0.061,140000,85000
104,W 618/5,5,11,3,0.403,0.143,120000,75000
105,W 619/5,5,13,4,0.761,0.335,110000,70000
106,W 619/5 X-2Z,5,13,5,0.761,0.335,110000,56000
107,W 619/5-2RS1,5,13,4,0.761,0.335,None,32000
108,W 619/5-2Z,5,13,4,0.761,0.335,110000,56000
109,W 625,5,16,5,1.43,0.63,100000,63000
110,W 625-2RS1,5,16,5,1.43,0.63,None,28000
111,W 625-2Z,5,16,5,1.43,0.63,100000,50000
112,W 625-2Z/VT378,5,16,5,1.43,0.63,100000,50000
113,W 627/5 R-2Z,5,8,2.5,0.121,0.045,140000,70000
114,W 627/5-2Z,5,8,2.5,0.121,0.045,140000,70000
115,W 627/5-2ZS,5,8,2.5,0.121,0.045,140000,70000
116,W 628/5 R-2Z,5,11,4,0.403,0.143,120000,60000
117,W 628/5-2RS1,5,11,4,0.403,0.143,None,34000
118,W 628/5-2Z,5,11,4,0.403,0.143,120000,60000
119,W 635-2RS1,5,19,6,2.03,0.88,None,24000
120,W 635-2Z,5,19,6,2.03,0.88,85000,43000
121,W 637/5 X-2Z,5,9,3,0.247,0.085,130000,67000
122,W 638/5 R-2Z,5,11,5,0.403,0.143,120000,60000
123,W 638/5-2RS1,5,11,5,0.403,0.143,None,34000
124,W 638/5-2Z,5,11,5,0.403,0.143,120000,60000
125,WBB1-8705-2Z,5,10,4,0.247,0.085,130000,67000
126,618/6,6,13,3.5,0.715,0.224,110000,67000
127,619/6,6,15,5,0.884,0.27,100000,63000
128,619/6-2Z,6,15,5,0.884,0.27,100000,50000
129,626,6,19,6,2.34,0.95,80000,50000
130,626-2RSH,6,19,6,2.34,0.95,None,24000
131,626-2RSL,6,19,6,2.34,0.95,80000,40000
132,626-2Z,6,19,6,2.34,0.95,80000,40000
133,626-RSH,6,19,6,2.34,0.95,None,24000
134,626-Z,6,19,6,2.34,0.95,80000,50000
135,628/6-2Z,6,13,5,0.88,0.35,110000,53000
136,W 606,6,17,6,1.95,0.83,95000,60000
137,W 606-2RS1,6,17,6,1.95,0.83,None,26000
138,W 606-2Z,6,17,6,1.95,0.83,95000,48000
139,W 617/6,6,10,2.5,0.286,0.112,120000,75000
140,W 617/6 R,6,10,2.5,0.286,0.112,120000,75000
141,W 618/6,6,13,3.5,0.618,0.224,110000,67000
142,W 618/6 R,6,13,3.5,0.618,0.224,110000,67000
143,W 619/6,6,15,5,0.761,0.265,100000,63000
144,W 619/6 R-2Z,6,15,5,0.761,0.265,100000,50000
145,W 619/6 X-2RS1,6,16,5,0.761,0.265,None,30000
146,W 619/6 X-2Z,6,16,5,0.761,0.265,100000,50000
147,W 619/6-2RS1,6,15,5,0.761,0.265,None,30000
148,W 619/6-2Z,6,15,5,0.761,0.265,100000,50000
149,W 626,6,19,6,1.53,0.585,85000,56000
150,W 626 R-2Z,6,19,6,1.53,0.585,85000,43000
151,W 626-2RS1,6,19,6,1.53,0.585,None,24000
152,W 626-2Z,6,19,6,1.53,0.585,85000,43000
153,W 627/6 R-2Z,6,10,3,0.286,0.112,120000,60000
154,W 627/6 X,6,12,3,0.403,0.146,110000,70000
155,W 627/6-2Z,6,10,3,0.286,0.112,120000,60000
156,W 628/6 R-2Z,6,13,5,0.618,0.224,110000,53000
157,W 628/6-2RS1,6,13,5,0.618,0.224,None,30000
158,W 628/6-2Z,6,13,5,0.618,0.224,110000,53000
159,W 636,6,22,7,1.99,0.78,75000,48000
160,W 636-2RS1,6,22,7,1.99,0.78,None,22000
161,W 636-2Z,6,22,7,1.99,0.78,75000,38000
162,WBB1-8706 R-2Z,6,12,4,0.403,0.146,110000,56000
163,WBB1-8706-2RS1,6,12,4,0.403,0.146,None,32000
164,WBB1-8706-2Z,6,12,4,0.403,0.146,110000,56000
165,D/W R188 R-2Z,6.35,12.7,4.762,0.618,0.224,110000,53000
166,D/W R188-2Z,6.35,12.7,4.762,0.618,0.224,110000,53000
167,D/W R4 A-2Z,6.35,19.05,7.142,1.53,0.585,80000,40000
168,D/W R4-2Z,6.35,15.875,4.978,0.852,0.315,95000,48000
169,D/W R4A,6.35,19.05,5.558,1.53,0.585,80000,50000
170,607,7,19,6,2.34,0.95,85000,53000
171,607-2RSH,7,19,6,2.34,0.95,None,24000
172,607-2RSL,7,19,6,2.34,0.95,85000,43000
173,607-2Z,7,19,6,2.34,0.95,85000,43000
174,607-RSH,7,19,6,2.34,0.95,None,24000
175,607-Z,7,19,6,2.34,0.95,85000,53000
176,618/7,7,14,3.5,0.78,0.26,100000,63000
177,619/7,7,17,5,1.06,0.375,90000,56000
178,619/7-2Z,7,17,5,1.06,0.375,90000,45000
179,627,7,22,7,3.45,1.37,70000,45000
180,627-2RSH,7,22,7,3.45,1.37,None,22000
181,627-2RSL,7,22,7,3.45,1.37,70000,36000
182,627-2Z,7,22,7,3.45,1.37,70000,36000
183,627-Z,7,22,7,3.45,1.37,70000,45000
184,628/7-2Z,7,14,5,0.78,0.26,100000,50000
185,W 607,7,19,6,1.53,0.585,85000,56000
186,W 607-2RS1,7,19,6,1.53,0.585,None,24000
187,W 607-2Z,7,19,6,1.53,0.585,85000,43000
188,W 617/7,7,11,2.5,0.26,0.104,110000,70000
189,W 618/7,7,14,3.5,0.663,0.26,100000,63000
190,W 618/7 R,7,14,3.5,0.663,0.26,100000,63000
191,W 619/7,7,17,5,0.923,0.365,90000,56000
192,W 619/7-2RS1,7,17,5,0.923,0.365,None,26000
193,W 619/7-2Z,7,17,5,0.923,0.365,90000,45000
194,W 627,7,22,7,1.99,0.78,75000,48000
195,W 627 X,7,13,3,0.312,0.143,100000,63000
196,W 627-2RS1,7,22,7,1.99,0.78,None,22000
197,W 627-2Z,7,22,7,1.99,0.78,75000,38000
198,W 628/7 R-2Z,7,14,5,0.663,0.26,100000,50000
199,W 628/7-2RS1,7,14,5,0.663,0.26,None,28000
200,W 628/7-2Z,7,14,5,0.663,0.26,100000,50000
201,W 637,7,26,9,3.97,1.96,67000,40000
202,W 637-2RS1,7,26,9,3.97,1.96,None,19000
203,W 637-2Z,7,26,9,3.97,1.96,67000,32000
204,607/8-2Z,8,19,6,2.34,0.95,85000,43000
205,608,8,22,7,3.45,1.37,75000,48000
206,608-2RSH,8,22,7,3.45,1.37,None,22000
207,608-2RSL,8,22,7,3.45,1.37,75000,38000
208,608-2Z,8,22,7,3.45,1.37,75000,38000
209,608-RSH,8,22,7,3.45,1.37,None,22000
210,608-Z,8,22,7,3.45,1.37,75000,48000
211,618/8,8,16,4,0.819,0.3,90000,56000
212,619/8,8,19,6,1.46,0.465,85000,53000
213,619/8-2RS1,8,19,6,1.46,0.465,None,24000
214,619/8-2Z,8,19,6,1.46,0.465,85000,43000
215,628-2RS1,8,24,8,3.9,1.66,None,19000
216,628-2Z,8,24,8,3.9,1.66,63000,32000
217,628/8-2RS1,8,16,5,1.33,0.57,None,26000
218,628/8-2Z,8,16,5,1.33,0.57,90000,45000
219,630/8-2RS1,8,22,11,3.45,1.37,None,22000
220,638/8-2Z,8,16,6,0.819,0.3,90000,45000
221,W 608,8,22,7,1.99,0.78,75000,48000
222,W 608 R,8,22,7,1.99,0.78,75000,48000
223,W 608 R-2Z,8,22,7,1.99,0.78,75000,38000
224,W 608-2RS1,8,22,7,1.99,0.78,None,22000
225,W 608-2RS1/VP311,8,22,7,1.99,0.78,None,22000
226,W 608-2Z,8,22,7,1.99,0.78,75000,38000
227,W 617/8,8,12,2.5,0.312,0.14,100000,63000
228,W 618/8,8,16,4,0.715,0.3,90000,56000
229,W 618/8-2Z,8,16,4,0.715,0.3,90000,45000
230,W 619/8,8,19,6,1.25,0.455,85000,53000
231,W 619/8 R-2Z,8,19,6,1.25,0.455,85000,43000
232,W 619/8-2RS1,8,19,6,1.25,0.455,None,24000
233,W 619/8-2Z,8,19,6,1.25,0.455,85000,43000
234,W 628,8,24,8,2.47,1.12,70000,45000
235,W 628-2RS1,8,24,8,2.47,1.12,None,20000
236,W 628-2Z,8,24,8,2.47,1.12,70000,36000
237,W 628/8 R-2Z,8,16,5,0.715,0.3,90000,45000
238,W 628/8-2RS1,8,16,5,0.715,0.3,None,26000
239,W 628/8-2Z,8,16,5,0.715,0.3,90000,45000
240,W 628/8-2Z/VT378,8,16,5,0.715,0.3,90000,45000
241,W 637/8 R-2Z,8,12,3.5,0.312,0.14,100000,53000
242,W 637/8 X,8,14,3.5,0.462,0.193,95000,60000
243,W 637/8-2Z,8,12,3.5,0.312,0.14,100000,53000
244,W 638,8,28,9,3.97,1.96,67000,40000
245,W 638-2RS1,8,28,9,3.97,1.96,None,19000
246,W 638-2Z,8,28,9,3.97,1.96,67000,32000
247,W 638/8 R-2Z,8,16,6,0.715,0.3,90000,45000
248,W 638/8-2Z,8,16,6,0.715,0.3,90000,45000
249,WBB1-8708-2RS1,8,14,4,0.462,0.193,None,28000
250,WBB1-8708-2Z,8,14,4,0.462,0.193,95000,48000
251,609,9,24,7,3.9,1.66,70000,43000
252,609-2RSH,9,24,7,3.9,1.66,None,19000
253,609-2RSL,9,24,7,3.9,1.66,70000,34000
254,609-2Z,9,24,7,3.9,1.66,70000,34000
255,609-RSH,9,24,7,3.9,1.66,None,19000
256,609-Z,9,24,7,3.9,1.66,70000,43000
257,618/9,9,17,4,0.871,0.34,85000,53000
258,619/9,9,20,6,2.34,0.98,80000,50000
259,619/9-2Z,9,20,6,2.34,0.98,80000,40000
260,628/9-2RS1,9,17,5,0.871,0.34,None,24000
261,628/9-2Z,9,17,5,0.871,0.34,85000,43000
262,628/9-Z,9,17,5,0.871,0.34,85000,53000
263,629,9,26,8,4.75,1.96,60000,38000
264,629-2RSH,9,26,8,4.75,1.96,None,19000
265,629-2RSL,9,26,8,4.75,1.96,60000,30000
266,629-2Z,9,26,8,4.75,1.96,60000,30000
267,629-Z,9,26,8,4.75,1.96,60000,38000
268,W 609,9,24,7,2.03,0.815,70000,43000
269,W 609-2RS1,9,24,7,2.03,0.815,None,20000
270,W 609-2Z,9,24,7,2.03,0.815,70000,36000
271,W 617/9,9,14,3,0.52,0.236,95000,60000
272,W 618/9,9,17,4,0.761,0.335,85000,53000
273,W 619/9,9,20,6,1.95,0.93,80000,50000
274,W 619/9-2RS1,9,20,6,1.95,0.93,None,22000
275,W 619/9-2Z,9,20,6,1.95,0.93,80000,40000
276,W 628/9-2RS1,9,17,5,0.761,0.335,None,24000
277,W 628/9-2Z,9,17,5,0.761,0.335,85000,43000
278,W 629,9,26,8,3.97,1.96,67000,40000
279,W 629-2RS1,9,26,8,3.97,1.96,None,19000
280,W 629-2Z,9,26,8,3.97,1.96,67000,32000
281,W 638/9-2Z,9,17,6,0.761,0.335,85000,43000
282,W 639,9,30,10,4.36,2.32,60000,36000
283,W 639-2RS1,9,30,10,4.36,2.32,None,16000
284,W 639-2Z,9,30,10,4.36,2.32,60000,30000
285,D/W R6-2Z,9.525,22.225,7.142,2.47,1.12,70000,36000
286,16100,10,28,8,5.07,2.36,60000,38000
287,16100-2Z,10,28,8,5.07,2.36,60000,30000
288,4200 ATN9,10,30,14,9.23,5.2,40000,22000
289,6000,10,26,8,4.75,1.96,67000,40000
290,6000-2RSH,10,26,8,4.75,1.96,None,19000
291,6000-2RSH/VA947,10,26,8,4.75,1.96,None,19000
292,6000-2RSL,10,26,8,4.75,1.96,67000,34000
293,6000-2Z,10,26,8,4.75,1.96,67000,34000
294,6000-RSH,10,26,8,4.75,1.96,None,19000
295,6000-RSL,10,26,8,4.75,1.96,67000,40000
296,6000-Z,10,26,8,4.75,1.96,67000,40000
297,61800,10,19,5,1.72,0.83,80000,48000
298,61800-2RS1,10,19,5,1.72,0.83,None,22000
299,61800-2Z,10,19,5,1.72,0.83,80000,38000
300,61900,10,22,6,2.7,1.27,70000,45000
301,61900-2RS1,10,22,6,2.7,1.27,None,20000
302,61900-2Z,10,22,6,2.7,1.27,70000,36000
303,6200,10,30,9,5.4,2.36,56000,36000
304,6200-2RSH,10,30,9,5.4,2.36,None,17000
305,6200-2RSH/VA947,10,30,9,5.4,2.36,None,17000
306,6200-2RSL,10,30,9,5.4,2.36,56000,28000
307,6200-2Z,10,30,9,5.4,2.36,56000,28000
308,6200-2ZNR,10,30,9,5.4,2.36,56000,28000
309,6200-RSH,10,30,9,5.4,2.36,None,17000
310,6200-Z,10,30,9,5.4,2.36,56000,36000
311,62200-2RS1,10,30,14,5.07,2.36,None,17000
312,62300-2RS1,10,35,17,8.06,3.4,None,15000
313,6300,10,35,11,8.52,3.4,50000,32000
314,6300-2RSH,10,35,11,8.52,3.4,None,15000
315,6300-2Z,10,35,11,8.52,3.4,50000,26000
316,6300-Z,10,35,11,8.52,3.4,50000,32000
317,63000-2RS1,10,26,12,4.62,1.96,None,19000
318,W 6000,10,26,8,3.97,1.96,67000,40000
319,W 6000-2RS1,10,26,8,3.97,1.96,None,19000
320,W 6000-2RS1/VP311,10,26,8,3.97,1.96,None,19000
321,W 6000-2Z,10,26,8,3.97,1.96,67000,32000
322,W 61700,10,15,3,0.488,0.22,85000,56000
323,W 61700 X-2RS1,10,15,4,0.488,0.22,None,24000
324,W 61700 X-2ZS,10,15,4,0.488,0.22,85000,43000
325,W 61700 XR-2RS1,10,15,4,0.488,0.22,None,24000
326,W 61800,10,19,5,1.48,0.83,80000,48000
327,W 61800-2RS1,10,19,5,1.48,0.83,None,22000
328,W 61800-2Z,10,19,5,1.48,0.83,80000,38000
329,W 61900,10,22,6,2.34,1.25,70000,45000
330,W 61900 R-2Z,10,22,6,2.34,1.25,70000,36000
331,W 61900-2RS1,10,22,6,2.34,1.25,None,20000
332,W 61900-2Z,10,22,6,2.34,1.25,70000,36000
333,W 61900-2Z/VT378,10,22,6,2.34,1.25,70000,36000
334,W 6200,10,30,9,4.36,2.32,60000,36000
335,W 6200-2RS1,10,30,9,4.36,2.32,None,16000
336,W 6200-2RS1/VP311,10,30,9,4.36,2.32,None,16000
337,W 6200-2Z,10,30,9,4.36,2.32,60000,30000
338,W 6300,10,35,11,7.02,3.4,53000,34000
339,W 6300-2RS1,10,35,11,7.02,3.4,None,15000
340,W 6300-2Z,10,35,11,7.02,3.4,53000,26000
341,W 63800 R-2Z,10,19,7,1.48,0.83,80000,38000
342,W 63800-2Z,10,19,7,1.48,0.83,80000,38000
343,16101,12,30,8,5.07,2.36,60000,38000
344,16101-2RS1,12,30,8,5.07,2.36,None,17000
345,16101-2Z,12,30,8,5.07,2.36,56000,28000
346,4201 ATN9,12,32,14,10.6,6.2,36000,20000
347,4301 ATN9,12,37,17,13,7.8,34000,18000
348,6001,12,28,8,5.4,2.36,60000,38000
349,6001-2RSH,12,28,8,5.4,2.36,None,17000
350,6001-2RSH/VA947,12,28,8,5.4,2.36,None,17000
351,6001-2RSL,12,28,8,5.4,2.36,60000,30000
352,6001-2Z,12,28,8,5.4,2.36,60000,30000
353,6001-RSH,12,28,8,5.4,2.36,None,17000
354,6001-RSL,12,28,8,5.4,2.36,60000,38000
355,6001-Z,12,28,8,5.4,2.36,60000,38000
356,61801,12,21,5,1.74,0.915,70000,43000
357,61801-2RS1,12,21,5,1.74,0.915,None,20000
358,61801-2Z,12,21,5,1.74,0.915,70000,36000
359,61901,12,24,6,2.91,1.46,67000,40000
360,61901-2RS1,12,24,6,2.91,1.46,None,19000
361,61901-2Z,12,24,6,2.91,1.46,67000,32000
362,6201,12,32,10,7.28,3.1,50000,32000
363,6201 NR,12,32,10,7.28,3.1,50000,32000
364,6201-2RSH,12,32,10,7.28,3.1,None,15000
365,6201-2RSH/VA947,12,32,10,7.28,3.1,None,15000
366,6201-2RSL,12,32,10,7.28,3.1,50000,26000
367,6201-2Z,12,32,10,7.28,3.1,50000,26000
368,6201-2ZNR,12,32,10,7.28,3.1,50000,26000
369,6201-RSH,12,32,10,7.28,3.1,None,15000
370,6201-RSL,12,32,10,7.28,3.1,50000,32000
371,6201-Z,12,32,10,7.28,3.1,50000,32000
372,62201-2RS1,12,32,14,6.89,3.1,None,15000
373,62301-2RS1,12,37,17,9.75,4.15,None,14000
374,63001-2RS1,12,28,12,5.07,2.36,None,17000
375,6301,12,37,12,10.1,4.15,45000,28000
376,6301-2RSH,12,37,12,10.1,4.15,None,14000
377,6301-2RSH/VA947,12,37,12,10.1,4.15,None,14000
378,6301-2Z,12,37,12,10.1,4.15,45000,22000
379,6301-RSH,12,37,12,10.1,4.15,None,14000
380,6301-Z,12,37,12,10.1,4.15,45000,22000
381,ICOS-D1B01 TN9,12,32,10,7.28,3.1,None,14000
382,W 6001,12,28,8,4.42,2.36,60000,36000
383,W 6001-2RS1,12,28,8,4.42,2.36,None,16000
384,W 6001-2RS1/VP311,12,28,8,4.42,2.36,None,16000
385,W 6001-2Z,12,28,8,4.42,2.36,60000,30000
386,W 61701-2RS1,12,18,4,0.527,0.265,None,22000
387,W 61701-2ZS,12,18,4,0.527,0.265,75000,38000
388,W 61801,12,21,5,1.51,0.9,70000,43000
389,W 61801 R,12,21,5,1.51,0.9,70000,43000
390,W 61801-2RS1,12,21,5,1.51,0.9,None,20000
391,W 61801-2Z,12,21,5,1.51,0.9,70000,36000
392,W 61901,12,24,6,2.51,1.46,67000,40000
393,W 61901 R-2RS1,12,24,6,2.51,1.46,None,19000
394,W 61901-2RS1,12,24,6,2.51,1.46,None,19000
395,W 61901-2Z,12,24,6,2.51,1.46,67000,32000
396,W 6201,12,32,10,5.72,3,53000,34000
397,W 6201-2RS1,12,32,10,5.72,3,None,15000
398,W 6201-2RS1/VP311,12,32,10,5.72,3,None,15000
399,W 6201-2Z,12,32,10,5.72,3,53000,28000
400,W 6301,12,37,12,8.32,4.15,48000,30000
401,W 6301-2RS1,12,37,12,8.32,4.15,None,14000
402,W 6301-2Z,12,37,12,8.32,4.15,48000,24000
403,W 63801-2RS1,12,21,7,1.51,0.9,None,20000
404,D/W R8-2Z,12.7,28.575,7.938,4.42,2.36,60000,30000
405,16002,15,32,8,5.85,2.85,50000,32000
406,16002-2Z,15,32,8,5.85,2.85,50000,26000
407,16002-Z,15,32,8,5.85,2.85,50000,26000
408,4202 ATN9,15,35,14,11.9,7.5,32000,17000
409,4302 ATN9,15,42,17,14.8,9.5,28000,15000
410,6002,15,32,9,5.85,2.85,50000,32000
411,6002-2RSH,15,32,9,5.85,2.85,None,14000
412,6002-2RSH/VA947,15,32,9,5.85,2.85,None,14000
413,6002-2RSL,15,32,9,5.85,2.85,50000,26000
414,6002-2Z,15,32,9,5.85,2.85,50000,26000
415,6002-RSH,15,32,9,5.85,2.85,None,14000
416,6002-RSL,15,32,9,5.85,2.85,50000,32000
417,6002-Z,15,32,9,5.85,2.85,50000,32000
418,61802,15,24,5,1.9,1.1,60000,38000
419,61802-2RS1,15,24,5,1.9,1.1,None,17000
420,61802-2Z,15,24,5,1.9,1.1,60000,30000
421,61902,15,28,7,4.36,2.24,56000,34000
422,61902-2RS1,15,28,7,4.36,2.24,None,16000
423,61902-2RZ,15,28,7,4.36,2.24,56000,28000
424,61902-2Z,15,28,7,4.36,2.24,56000,28000
425,6202,15,35,11,8.06,3.75,43000,28000
426,6202 NR,15,35,11,8.06,3.75,43000,28000
427,6202-2RSH,15,35,11,8.06,3.75,None,13000
428,6202-2RSH/VA947,15,35,11,8.06,3.75,None,13000
429,6202-2RSL,15,35,11,8.06,3.75,43000,22000
430,6202-2Z,15,35,11,8.06,3.75,43000,22000
431,6202-2ZNR,15,35,11,8.06,3.75,43000,22000
432,6202-RSH,15,35,11,8.06,3.75,None,13000
433,6202-Z,15,35,11,8.06,3.75,43000,28000
434,62202-2RS1,15,35,14,7.8,3.75,None,13000
435,62302-2RS1,15,42,17,11.4,5.4,None,12000
436,63002-2RS1,15,32,13,5.59,2.85,None,14000
437,6302,15,42,13,11.9,5.4,38000,24000
438,6302-2RSH,15,42,13,11.9,5.4,None,12000
439,6302-2RSH/VA947,15,42,13,11.9,5.4,None,12000
440,6302-2RSL,15,42,13,11.9,5.4,38000,19000
441,6302-2Z,15,42,13,11.9,5.4,38000,19000
442,6302-RSH,15,42,13,11.9,5.4,None,12000
443,6302-Z,15,42,13,11.9,5.4,38000,24000
444,ICOS-D1B02 TN9,15,35,11,8.06,3.75,None,12000
445,W 6002,15,32,9,4.88,2.8,50000,32000
446,W 6002-2RS1,15,32,9,4.88,2.8,None,14000
447,W 6002-2RS1/VP311,15,32,9,4.88,2.8,None,14000
448,W 6002-2Z,15,32,9,4.88,2.8,50000,26000
449,W 61702-2RS1,15,21,4,0.527,0.29,None,19000
450,W 61802 R,15,24,5,1.65,1.08,60000,38000
451,W 61802-2RS1,15,24,5,1.65,1.08,None,17000
452,W 61802-2Z,15,24,5,1.65,1.08,60000,30000
453,W 61902,15,28,7,3.71,2.24,56000,34000
454,W 61902-2RS1,15,28,7,3.71,2.24,None,16000
455,W 61902-2Z,15,28,7,3.71,2.24,56000,28000
456,W 6202,15,35,11,6.37,3.6,48000,30000
457,W 6202-2RS1,15,35,11,6.37,3.6,None,13000
458,W 6202-2RS1/VP311,15,35,11,6.37,3.6,None,13000
459,W 6202-2Z,15,35,11,6.37,3.6,48000,24000
460,W 6302,15,42,13,9.95,5.4,40000,26000
461,W 6302-2RS1,15,42,13,9.95,5.4,None,11000
462,W 6302-2Z,15,42,13,9.95,5.4,40000,20000
463,D/W R10-2RS1,15.875,34.925,8.733,4.94,3.15,None,13000
